"Job","Panel","Start time","End time","Time","EndTo1st","EndTo1stEnd","EndTo2nd","EndTo2ndEnd","EndTo3rd","EndTo3rdEnd"
"","1","2024-07-02 04:13:06","2024-07-02 04:13:34","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:13:42","2024-07-02 04:13:42","00:00:00","8","8","","","",""
"","1","2024-07-02 04:13:42","2024-07-02 04:13:42","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:13:41","2024-07-02 04:14:08","00:00:27","-1","26","","","",""
"","1","2024-07-02 04:13:41","2024-07-02 04:14:08","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:15:53","2024-07-02 04:16:16","00:00:23","105","105","128","128","",""
"","1","2024-07-02 04:15:53","2024-07-02 04:15:53","0"
"","2","2024-07-02 04:16:16","2024-07-02 04:16:16","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:15:59","2024-07-02 04:16:26","00:00:27","-17","10","","","",""
"","1","2024-07-02 04:15:59","2024-07-02 04:16:26","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:16:45","2024-07-02 04:16:45","00:00:00","19","19","","","",""
"","1","2024-07-02 04:16:45","2024-07-02 04:16:45","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:16:33","2024-07-02 04:16:59","00:00:26","-12","14","","","",""
"","1","2024-07-02 04:16:33","2024-07-02 04:16:59","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:17:14","2024-07-02 04:17:14","00:00:00","15","15","","","",""
"","1","2024-07-02 04:17:14","2024-07-02 04:17:14","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:17:06","2024-07-02 04:17:40","00:00:34","-8","26","","","",""
"","1","2024-07-02 04:17:06","2024-07-02 04:17:40","34"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 04:17:43","2024-07-02 04:18:05","00:00:22","3","3","25","25","",""
"","1","2024-07-02 04:17:43","2024-07-02 04:17:43","0"
"","2","2024-07-02 04:18:05","2024-07-02 04:18:05","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:17:46","2024-07-02 04:18:14","00:00:28","-19","9","","","",""
"","1","2024-07-02 04:17:46","2024-07-02 04:18:14","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:18:34","2024-07-02 04:18:34","00:00:00","20","20","","","",""
"","1","2024-07-02 04:18:34","2024-07-02 04:18:34","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:18:20","2024-07-02 04:18:48","00:00:28","-14","14","","","",""
"","1","2024-07-02 04:18:20","2024-07-02 04:18:48","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:19:03","2024-07-02 04:19:03","00:00:00","15","15","","","",""
"","1","2024-07-02 04:19:03","2024-07-02 04:19:03","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 04:18:55","2024-07-02 04:19:23","00:00:28","-8","20","","","",""
"","1","2024-07-02 04:18:55","2024-07-02 04:19:23","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 04:19:46","2024-07-02 04:19:46","00:00:00","23","23","","","",""
"","1","2024-07-02 04:19:46","2024-07-02 04:19:46","0"
