"Job","Panel","Start time","End time","Time","EndTo1st","EndTo1stEnd","EndTo2nd","EndTo2ndEnd","EndTo3rd","EndTo3rdEnd"
"","1","2024-07-02 08:19:11","2024-07-02 08:19:11","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:18:58","2024-07-02 08:19:25","00:00:27","-13","14","","","",""
"","1","2024-07-02 08:18:58","2024-07-02 08:19:25","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:19:52","2024-07-02 08:19:52","00:00:00","27","27","","","",""
"","1","2024-07-02 08:19:52","2024-07-02 08:19:52","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:19:36","2024-07-02 08:20:02","00:00:26","-16","10","","","",""
"","1","2024-07-02 08:19:36","2024-07-02 08:20:02","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:20:47","2024-07-02 08:20:47","00:00:00","45","45","","","",""
"","1","2024-07-02 08:20:47","2024-07-02 08:20:47","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:20:17","2024-07-02 08:20:50","00:00:33","-30","3","","","",""
"","1","2024-07-02 08:20:17","2024-07-02 08:20:50","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:21:14","2024-07-02 08:21:14","00:00:00","24","24","","","",""
"","1","2024-07-02 08:21:14","2024-07-02 08:21:14","0"
"ECH3ESN00003 T&B T A1-LCR","3","2024-07-02 08:20:58","2024-07-02 08:22:45","00:01:47","-16","11","25","52","66","91"
"","1","2024-07-02 08:20:58","2024-07-02 08:21:25","27"
"","2","2024-07-02 08:21:39","2024-07-02 08:22:06","27"
"","3","2024-07-02 08:22:20","2024-07-02 08:22:45","25"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:23:17","2024-07-02 08:23:17","00:00:00","32","32","","","",""
"","1","2024-07-02 08:23:17","2024-07-02 08:23:17","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:23:16","2024-07-02 08:23:43","00:00:27","-1","26","","","",""
"","1","2024-07-02 08:23:16","2024-07-02 08:23:43","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:23:47","2024-07-02 08:23:47","00:00:00","4","4","","","",""
"","1","2024-07-02 08:23:47","2024-07-02 08:23:47","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:23:58","2024-07-02 08:24:24","00:00:26","11","37","","","",""
"","1","2024-07-02 08:23:58","2024-07-02 08:24:24","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:24:25","2024-07-02 08:24:25","00:00:00","1","1","","","",""
"","1","2024-07-02 08:24:25","2024-07-02 08:24:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:24:31","2024-07-02 08:24:55","00:00:24","6","30","","","",""
"","1","2024-07-02 08:24:31","2024-07-02 08:24:55","24"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:25:33","2024-07-02 08:25:33","00:00:00","38","38","","","",""
"","1","2024-07-02 08:25:33","2024-07-02 08:25:33","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:25:10","2024-07-02 08:25:45","00:00:35","-23","12","","","",""
"","1","2024-07-02 08:25:10","2024-07-02 08:25:45","35"
"ECH3ESN00003 T&B B A1-LCR","6","2024-07-02 08:25:57","2024-07-02 08:29:24","00:03:27","12","12","37","37","61","61"
"","1","2024-07-02 08:25:57","2024-07-02 08:25:57","0"
"","2","2024-07-02 08:26:22","2024-07-02 08:26:22","0"
"","3","2024-07-02 08:26:46","2024-07-02 08:26:46","0"
"","4","2024-07-02 08:27:30","2024-07-02 08:27:30","0"
"","5","2024-07-02 08:28:26","2024-07-02 08:28:26","0"
"","6","2024-07-02 08:29:24","2024-07-02 08:29:24","0"
"ECH3ESN00003 T&B T A1-LCR","3","2024-07-02 08:32:02","2024-07-02 08:33:38","00:01:36","158","185","192","219","226","254"
"","1","2024-07-02 08:32:02","2024-07-02 08:32:29","27"
"","2","2024-07-02 08:32:36","2024-07-02 08:33:03","27"
"","3","2024-07-02 08:33:10","2024-07-02 08:33:38","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:34:49","2024-07-02 08:34:49","00:00:00","71","71","","","",""
"","1","2024-07-02 08:34:49","2024-07-02 08:34:49","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:34:45","2024-07-02 08:35:11","00:00:26","-4","22","","","",""
"","1","2024-07-02 08:34:45","2024-07-02 08:35:11","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:35:22","2024-07-02 08:35:22","00:00:00","11","11","","","",""
"","1","2024-07-02 08:35:22","2024-07-02 08:35:22","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:35:18","2024-07-02 08:35:45","00:00:27","-4","23","","","",""
"","1","2024-07-02 08:35:18","2024-07-02 08:35:45","27"
"ECH3ESN00003 T&B B A1-LCR","19","2024-07-02 08:35:56","2024-07-02 08:47:55","00:11:59","11","11","45","45","69","69"
"","1","2024-07-02 08:35:56","2024-07-02 08:35:56","0"
"","2","2024-07-02 08:36:30","2024-07-02 08:36:30","0"
"","3","2024-07-02 08:36:54","2024-07-02 08:36:54","0"
"","4","2024-07-02 08:37:24","2024-07-02 08:37:24","0"
"","5","2024-07-02 08:40:01","2024-07-02 08:40:01","0"
"","6","2024-07-02 08:40:24","2024-07-02 08:40:25","1"
"","7","2024-07-02 08:40:49","2024-07-02 08:40:49","0"
"","8","2024-07-02 08:41:22","2024-07-02 08:41:22","0"
"","9","2024-07-02 08:41:45","2024-07-02 08:41:45","0"
"","10","2024-07-02 08:42:09","2024-07-02 08:42:09","0"
"","11","2024-07-02 08:43:16","2024-07-02 08:43:16","0"
"","12","2024-07-02 08:43:40","2024-07-02 08:43:40","0"
"","13","2024-07-02 08:44:03","2024-07-02 08:44:03","0"
"","14","2024-07-02 08:44:26","2024-07-02 08:44:26","0"
"","15","2024-07-02 08:45:59","2024-07-02 08:45:59","0"
"","16","2024-07-02 08:46:23","2024-07-02 08:46:23","0"
"","17","2024-07-02 08:46:46","2024-07-02 08:46:46","0"
"","18","2024-07-02 08:47:16","2024-07-02 08:47:16","0"
"","19","2024-07-02 08:47:55","2024-07-02 08:47:55","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:35:52","2024-07-02 08:47:58","00:12:06","-723","3","","","",""
"","1","2024-07-02 08:35:52","2024-07-02 08:47:58","726"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:48:18","2024-07-02 08:48:18","00:00:00","20","20","","","",""
"","1","2024-07-02 08:48:18","2024-07-02 08:48:18","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:48:05","2024-07-02 08:48:32","00:00:27","-13","14","","","",""
"","1","2024-07-02 08:48:05","2024-07-02 08:48:32","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:48:54","2024-07-02 08:48:54","00:00:00","22","22","","","",""
"","1","2024-07-02 08:48:54","2024-07-02 08:48:54","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:48:40","2024-07-02 08:49:06","00:00:26","-14","12","","","",""
"","1","2024-07-02 08:48:40","2024-07-02 08:49:06","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:49:26","2024-07-02 08:49:26","00:00:00","20","20","","","",""
"","1","2024-07-02 08:49:26","2024-07-02 08:49:26","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:49:13","2024-07-02 08:49:40","00:00:27","-13","14","","","",""
"","1","2024-07-02 08:49:13","2024-07-02 08:49:40","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:49:57","2024-07-02 08:49:57","00:00:00","17","17","","","",""
"","1","2024-07-02 08:49:57","2024-07-02 08:49:57","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:49:46","2024-07-02 08:50:20","00:00:34","-11","23","","","",""
"","1","2024-07-02 08:49:46","2024-07-02 08:50:20","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:50:29","2024-07-02 08:50:29","00:00:00","9","9","","","",""
"","1","2024-07-02 08:50:29","2024-07-02 08:50:29","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:50:27","2024-07-02 08:50:54","00:00:27","-2","25","","","",""
"","1","2024-07-02 08:50:27","2024-07-02 08:50:54","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:51:04","2024-07-02 08:51:04","00:00:00","10","10","","","",""
"","1","2024-07-02 08:51:04","2024-07-02 08:51:04","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:51:01","2024-07-02 08:51:28","00:00:27","-3","24","","","",""
"","1","2024-07-02 08:51:01","2024-07-02 08:51:28","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:51:53","2024-07-02 08:51:53","00:00:00","25","25","","","",""
"","1","2024-07-02 08:51:53","2024-07-02 08:51:53","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:51:35","2024-07-02 08:52:03","00:00:28","-18","10","","","",""
"","1","2024-07-02 08:51:35","2024-07-02 08:52:03","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:52:23","2024-07-02 08:52:23","00:00:00","20","20","","","",""
"","1","2024-07-02 08:52:23","2024-07-02 08:52:23","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 08:52:09","2024-07-02 08:53:08","00:00:59","-14","11","18","45","",""
"","1","2024-07-02 08:52:09","2024-07-02 08:52:34","25"
"","2","2024-07-02 08:52:41","2024-07-02 08:53:08","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:53:25","2024-07-02 08:53:25","00:00:00","17","17","","","",""
"","1","2024-07-02 08:53:25","2024-07-02 08:53:25","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:53:14","2024-07-02 08:53:47","00:00:33","-11","22","","","",""
"","1","2024-07-02 08:53:14","2024-07-02 08:53:47","33"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:54:10","2024-07-02 08:54:10","00:00:00","23","23","","","",""
"","1","2024-07-02 08:54:10","2024-07-02 08:54:10","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:53:54","2024-07-02 08:54:22","00:00:28","-16","12","","","",""
"","1","2024-07-02 08:53:54","2024-07-02 08:54:22","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:54:51","2024-07-02 08:54:51","00:00:00","29","29","","","",""
"","1","2024-07-02 08:54:51","2024-07-02 08:54:51","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:54:35","2024-07-02 08:55:02","00:00:27","-16","11","","","",""
"","1","2024-07-02 08:54:35","2024-07-02 08:55:02","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:55:32","2024-07-02 08:55:32","00:00:00","30","30","","","",""
"","1","2024-07-02 08:55:32","2024-07-02 08:55:32","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:55:16","2024-07-02 08:55:44","00:00:28","-16","12","","","",""
"","1","2024-07-02 08:55:16","2024-07-02 08:55:44","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:56:13","2024-07-02 08:56:13","00:00:00","29","29","","","",""
"","1","2024-07-02 08:56:13","2024-07-02 08:56:13","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:55:57","2024-07-02 08:56:25","00:00:28","-16","12","","","",""
"","1","2024-07-02 08:55:57","2024-07-02 08:56:25","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:56:54","2024-07-02 08:56:54","00:00:00","29","29","","","",""
"","1","2024-07-02 08:56:54","2024-07-02 08:56:54","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:56:38","2024-07-02 08:57:05","00:00:27","-16","11","","","",""
"","1","2024-07-02 08:56:38","2024-07-02 08:57:05","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:57:35","2024-07-02 08:57:35","00:00:00","30","30","","","",""
"","1","2024-07-02 08:57:35","2024-07-02 08:57:35","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 08:57:19","2024-07-02 08:57:46","00:00:27","-16","11","","","",""
"","1","2024-07-02 08:57:19","2024-07-02 08:57:46","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 08:58:16","2024-07-02 08:58:16","00:00:00","30","30","","","",""
"","1","2024-07-02 08:58:16","2024-07-02 08:58:16","0"
"ECH3ESN00003 T&B T A1-LCR","23","2024-07-02 08:58:00","2024-07-02 09:13:08","00:15:08","-16","18","25","52","60","87"
"","1","2024-07-02 08:58:00","2024-07-02 08:58:34","34"
"","2","2024-07-02 08:58:41","2024-07-02 08:59:08","27"
"","3","2024-07-02 08:59:16","2024-07-02 08:59:43","27"
"","4","2024-07-02 08:59:51","2024-07-02 09:00:19","28"
"","5","2024-07-02 09:00:28","2024-07-02 09:00:55","27"
"","6","2024-07-02 09:01:02","2024-07-02 09:01:29","27"
"","7","2024-07-02 09:01:36","2024-07-02 09:02:03","27"
"","8","2024-07-02 09:02:10","2024-07-02 09:02:44","34"
"","9","2024-07-02 09:02:50","2024-07-02 09:03:18","28"
"","10","2024-07-02 09:03:29","2024-07-02 09:03:56","27"
"","11","2024-07-02 09:04:03","2024-07-02 09:04:31","28"
"","12","2024-07-02 09:04:38","2024-07-02 09:05:04","26"
"","13","2024-07-02 09:05:14","2024-07-02 09:05:41","27"
"","14","2024-07-02 09:05:48","2024-07-02 09:06:21","33"
"","15","2024-07-02 09:06:28","2024-07-02 09:06:55","27"
"","16","2024-07-02 09:07:02","2024-07-02 09:07:27","25"
"","17","2024-07-02 09:07:34","2024-07-02 09:08:01","27"
"","18","2024-07-02 09:08:11","2024-07-02 09:08:39","28"
"","19","2024-07-02 09:08:51","2024-07-02 09:09:18","27"
"","20","2024-07-02 09:10:21","2024-07-02 09:10:48","27"
"","21","2024-07-02 09:11:26","2024-07-02 09:12:00","34"
"","22","2024-07-02 09:12:06","2024-07-02 09:12:33","27"
"","23","2024-07-02 09:12:40","2024-07-02 09:13:08","28"
"ECH3ESN00003 T&B B A1-LCR","4","2024-07-02 09:14:44","2024-07-02 09:15:54","00:01:10","96","96","119","119","143","143"
"","1","2024-07-02 09:14:44","2024-07-02 09:14:44","0"
"","2","2024-07-02 09:15:07","2024-07-02 09:15:07","0"
"","3","2024-07-02 09:15:31","2024-07-02 09:15:31","0"
"","4","2024-07-02 09:15:54","2024-07-02 09:15:54","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:13:14","2024-07-02 09:16:06","00:02:52","-160","12","","","",""
"","1","2024-07-02 09:13:14","2024-07-02 09:16:06","172"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:16:31","2024-07-02 09:16:31","00:00:00","25","25","","","",""
"","1","2024-07-02 09:16:31","2024-07-02 09:16:31","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 09:16:13","2024-07-02 09:17:13","00:01:00","-18","8","15","42","",""
"","1","2024-07-02 09:16:13","2024-07-02 09:16:39","26"
"","2","2024-07-02 09:16:46","2024-07-02 09:17:13","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:17:23","2024-07-02 09:17:23","00:00:00","10","10","","","",""
"","1","2024-07-02 09:17:23","2024-07-02 09:17:23","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:17:19","2024-07-02 09:17:46","00:00:27","-4","23","","","",""
"","1","2024-07-02 09:17:19","2024-07-02 09:17:46","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:17:57","2024-07-02 09:17:57","00:00:00","11","11","","","",""
"","1","2024-07-02 09:17:57","2024-07-02 09:17:57","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:17:53","2024-07-02 09:18:26","00:00:33","-4","29","","","",""
"","1","2024-07-02 09:17:53","2024-07-02 09:18:26","33"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 09:18:31","2024-07-02 09:18:54","00:00:23","5","5","28","28","",""
"","1","2024-07-02 09:18:31","2024-07-02 09:18:31","0"
"","2","2024-07-02 09:18:54","2024-07-02 09:18:54","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:18:33","2024-07-02 09:19:01","00:00:28","-21","7","","","",""
"","1","2024-07-02 09:18:33","2024-07-02 09:19:01","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:19:26","2024-07-02 09:19:26","00:00:00","25","25","","","",""
"","1","2024-07-02 09:19:26","2024-07-02 09:19:26","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 09:19:19","2024-07-02 09:20:21","00:01:02","-7","20","27","55","",""
"","1","2024-07-02 09:19:19","2024-07-02 09:19:46","27"
"","2","2024-07-02 09:19:53","2024-07-02 09:20:21","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:20:41","2024-07-02 09:20:42","00:00:01","20","21","","","",""
"","1","2024-07-02 09:20:41","2024-07-02 09:20:42","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:20:28","2024-07-02 09:20:54","00:00:26","-14","12","","","",""
"","1","2024-07-02 09:20:28","2024-07-02 09:20:54","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:21:22","2024-07-02 09:21:22","00:00:00","28","28","","","",""
"","1","2024-07-02 09:21:22","2024-07-02 09:21:22","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:21:07","2024-07-02 09:21:33","00:00:26","-15","11","","","",""
"","1","2024-07-02 09:21:07","2024-07-02 09:21:33","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:22:03","2024-07-02 09:22:03","00:00:00","30","30","","","",""
"","1","2024-07-02 09:22:03","2024-07-02 09:22:03","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:21:48","2024-07-02 09:22:18","00:00:30","-15","15","","","",""
"","1","2024-07-02 09:21:48","2024-07-02 09:22:18","30"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 09:22:28","2024-07-02 09:23:00","00:00:32","10","11","42","42","",""
"","1","2024-07-02 09:22:28","2024-07-02 09:22:29","1"
"","2","2024-07-02 09:23:00","2024-07-02 09:23:00","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:22:45","2024-07-02 09:23:12","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:22:45","2024-07-02 09:23:12","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 09:23:27","2024-07-02 09:24:05","00:00:38","15","15","53","53","",""
"","1","2024-07-02 09:23:27","2024-07-02 09:23:27","0"
"","2","2024-07-02 09:24:05","2024-07-02 09:24:05","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:23:50","2024-07-02 09:24:17","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:23:50","2024-07-02 09:24:17","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:24:40","2024-07-02 09:24:40","00:00:00","23","23","","","",""
"","1","2024-07-02 09:24:40","2024-07-02 09:24:40","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:24:25","2024-07-02 09:24:52","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:24:25","2024-07-02 09:24:52","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:25:15","2024-07-02 09:25:15","00:00:00","23","23","","","",""
"","1","2024-07-02 09:25:15","2024-07-02 09:25:15","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:25:00","2024-07-02 09:25:27","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:25:00","2024-07-02 09:25:27","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:25:49","2024-07-02 09:25:49","00:00:00","22","22","","","",""
"","1","2024-07-02 09:25:49","2024-07-02 09:25:49","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:25:34","2024-07-02 09:26:01","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:25:34","2024-07-02 09:26:01","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:26:24","2024-07-02 09:26:24","00:00:00","23","23","","","",""
"","1","2024-07-02 09:26:24","2024-07-02 09:26:24","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:26:08","2024-07-02 09:26:37","00:00:29","-16","13","","","",""
"","1","2024-07-02 09:26:08","2024-07-02 09:26:37","29"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:26:58","2024-07-02 09:26:58","00:00:00","21","21","","","",""
"","1","2024-07-02 09:26:58","2024-07-02 09:26:58","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:26:43","2024-07-02 09:27:17","00:00:34","-15","19","","","",""
"","1","2024-07-02 09:26:43","2024-07-02 09:27:17","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:27:43","2024-07-02 09:27:43","00:00:00","26","26","","","",""
"","1","2024-07-02 09:27:43","2024-07-02 09:27:43","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:27:27","2024-07-02 09:27:54","00:00:27","-16","11","","","",""
"","1","2024-07-02 09:27:27","2024-07-02 09:27:54","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:28:21","2024-07-02 09:28:21","00:00:00","27","27","","","",""
"","1","2024-07-02 09:28:21","2024-07-02 09:28:21","0"
"ECH3ESN00003 T&B T A1-LCR","2","2024-07-02 09:28:06","2024-07-02 09:29:14","00:01:08","-15","12","25","53","",""
"","1","2024-07-02 09:28:06","2024-07-02 09:28:33","27"
"","2","2024-07-02 09:28:46","2024-07-02 09:29:14","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:29:46","2024-07-02 09:29:46","00:00:00","32","32","","","",""
"","1","2024-07-02 09:29:46","2024-07-02 09:29:46","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:29:30","2024-07-02 09:29:57","00:00:27","-16","11","","","",""
"","1","2024-07-02 09:29:30","2024-07-02 09:29:57","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:30:24","2024-07-02 09:30:24","00:00:00","27","27","","","",""
"","1","2024-07-02 09:30:24","2024-07-02 09:30:24","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:30:09","2024-07-02 09:30:35","00:00:26","-15","11","","","",""
"","1","2024-07-02 09:30:09","2024-07-02 09:30:35","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:31:05","2024-07-02 09:31:05","00:00:00","30","30","","","",""
"","1","2024-07-02 09:31:05","2024-07-02 09:31:05","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:30:50","2024-07-02 09:31:17","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:30:50","2024-07-02 09:31:17","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:31:47","2024-07-02 09:31:47","00:00:00","30","30","","","",""
"","1","2024-07-02 09:31:47","2024-07-02 09:31:47","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:31:31","2024-07-02 09:32:05","00:00:34","-16","18","","","",""
"","1","2024-07-02 09:31:31","2024-07-02 09:32:05","34"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:32:29","2024-07-02 09:32:29","00:00:00","24","24","","","",""
"","1","2024-07-02 09:32:29","2024-07-02 09:32:29","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:32:13","2024-07-02 09:32:41","00:00:28","-16","12","","","",""
"","1","2024-07-02 09:32:13","2024-07-02 09:32:41","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:33:17","2024-07-02 09:33:17","00:00:00","36","36","","","",""
"","1","2024-07-02 09:33:17","2024-07-02 09:33:17","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:33:02","2024-07-02 09:33:29","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:33:02","2024-07-02 09:33:29","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:33:52","2024-07-02 09:33:52","00:00:00","23","23","","","",""
"","1","2024-07-02 09:33:52","2024-07-02 09:33:52","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:33:37","2024-07-02 09:34:05","00:00:28","-15","13","","","",""
"","1","2024-07-02 09:33:37","2024-07-02 09:34:05","28"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:34:33","2024-07-02 09:34:33","00:00:00","28","28","","","",""
"","1","2024-07-02 09:34:33","2024-07-02 09:34:33","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:34:18","2024-07-02 09:34:44","00:00:26","-15","11","","","",""
"","1","2024-07-02 09:34:18","2024-07-02 09:34:44","26"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:35:18","2024-07-02 09:35:19","00:00:01","34","35","","","",""
"","1","2024-07-02 09:35:18","2024-07-02 09:35:19","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:35:03","2024-07-02 09:35:30","00:00:27","-16","11","","","",""
"","1","2024-07-02 09:35:03","2024-07-02 09:35:30","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:36:00","2024-07-02 09:36:00","00:00:00","30","30","","","",""
"","1","2024-07-02 09:36:00","2024-07-02 09:36:00","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:35:45","2024-07-02 09:36:17","00:00:32","-15","17","","","",""
"","1","2024-07-02 09:35:45","2024-07-02 09:36:17","32"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:36:45","2024-07-02 09:36:45","00:00:00","28","28","","","",""
"","1","2024-07-02 09:36:45","2024-07-02 09:36:45","0"
"ECH3ESN00003 T&B T A1-LCR","3","2024-07-02 09:36:30","2024-07-02 09:38:24","00:01:54","-15","12","23","56","63","99"
"","1","2024-07-02 09:36:30","2024-07-02 09:36:57","27"
"","2","2024-07-02 09:37:08","2024-07-02 09:37:41","33"
"","3","2024-07-02 09:37:48","2024-07-02 09:38:24","36"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:38:40","2024-07-02 09:38:40","00:00:00","16","16","","","",""
"","1","2024-07-02 09:38:40","2024-07-02 09:38:40","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:38:31","2024-07-02 09:38:58","00:00:27","-9","18","","","",""
"","1","2024-07-02 09:38:31","2024-07-02 09:38:58","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 09:39:04","2024-07-02 09:39:40","00:00:36","6","6","42","42","",""
"","1","2024-07-02 09:39:04","2024-07-02 09:39:04","0"
"","2","2024-07-02 09:39:40","2024-07-02 09:39:40","0"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:39:25","2024-07-02 09:39:52","00:00:27","-15","12","","","",""
"","1","2024-07-02 09:39:25","2024-07-02 09:39:52","27"
"ECH3ESN00003 T&B B A1-LCR","1","2024-07-02 09:40:12","2024-07-02 09:40:13","00:00:01","20","21","","","",""
"","1","2024-07-02 09:40:12","2024-07-02 09:40:13","1"
"ECH3ESN00003 T&B T A1-LCR","1","2024-07-02 09:39:59","2024-07-02 09:40:26","00:00:27","-14","13","","","",""
"","1","2024-07-02 09:39:59","2024-07-02 09:40:26","27"
"ECH3ESN00003 T&B B A1-LCR","2","2024-07-02 09:40:36","2024-07-02 09:41:08","00:00:32","10","10","42","42","",""
